stack,organization_id,name,external_organization_id,custnmbr
AFI,023903e9-190e-434a-8e9c-39631cc4f9b6,Sheffield Homes Remodel,SHE2021,SHE2021
AFI,9daa31ba-b768-4ad0-91f9-3c5e8c152ff6,Wolf Construction Group LLC,WO2021,WO2021
AFI,4008b7e9-3ab4-411b-9739-496eb15a95d5,"Chartered Development Corporation ",CH2016,CH2016
AFI,09f18668-d99d-4e10-afe1-525be2c1bd90,AFI,AFI,NULL
AFI,07193a88-d026-4f7e-96b6-7347f7d668d9,High Plains Homes LLC,HP2020,HP2020
AFI,40d57680-7288-4268-94a3-9bcb5b2d6d2e,Copper Homes LTD,CO2021,CO2021
AFI,605ff7fc-e842-4da9-83b5-cf3becf758e7,The Augusta Group,AU2019,AU2019
AFI,2c4f1dfc-41e7-450e-8746-f3f1563987d4,AFI - Remodel,AFI2016,AFI2016
AFI,5638925c-9796-438f-9d0b-f7a660dd9131,Copper Homes Limited,CO2020,CO2020
EPLAN,1a96f4aa-ff72-462f-b841-0634af52b2f6,Stoneybrooke,STON23,STON23
EPLAN,1fbea563-db83-41c7-a4cd-0c38abdd4034,National Homebuilders,NATH2022,NATH2022
EPLAN,f2b58de0-197b-4c1a-a04b-192425df2d0e,Capital West,CAPW22,CAPW22
EPLAN,85a50438-d7eb-45c9-83b4-1f4942699ece,STAGING - Taylor Morrison Dallas,,NULL
EPLAN,d8c44d59-93b2-4b49-9eec-2a469707d316,TC Construction,TCCONST2018,TCCONST2018
EPLAN,e857db43-adb8-4559-b018-310184c0a9b6,Oakline Floors,OAK2023,NULL
EPLAN,726c3ef0-0312-41dd-97fc-32250f18abac,Primera 1,PRI2017,NULL
EPLAN,90a851dc-6d5e-4402-9042-39c467505530,STAGING - Taylor Morrison Orlando,,NULL
EPLAN,3ba77699-15c3-455b-816d-39edc1f838b1,STAGING - Taylor Morrison Bay Area,,NULL
EPLAN,c697d2ae-0eeb-4697-aa4a-41bc2bd2f186,Guy's Floor Service,GUYS23,NULL
EPLAN,e0d30ec5-3d33-421e-9c09-45f4f6816243,STAGING - Taylor Morrison Naples,,NULL
EPLAN,0edc2fa6-8e0e-4b00-851a-4cadb5f395eb,STAGING - Taylor Morrison Phoenix,,NULL
EPLAN,f2025354-f0fb-4d76-8a94-54a06d851796,STAGING - Taylor Morrison SoCal,,NULL
EPLAN,afe80613-aab4-4f13-bd93-563c6a5f3aa3,STAGING - Taylor Morrison Las Vegas,,NULL
EPLAN,751caac1-e79d-4186-91ac-5fbf844c8814,"M Construction, LLC",MCONST2018,MCONST2018
