Stack,application,product,color,part no.,global product id,Is Visualizable?
WBS - estimated items,Flooring,Tile,Milan TGK09 17X17 - 700 Cafe,6TGK09/700,000c6378-6fbf-40ff-a38c-fc88f2060d27,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Modern Formation 24x24 Light Polished - Smokey Ridge ",6MF24LP/SMO,0031cbfa-ef45-4f22-911c-dbdb6a9238e2,Yes
WBS - estimated items,Flooring,Tile,Fascinate 5x5 - Lead,6BNFL55/LE,0061d6bc-bce0-4a82-99ce-d6b7fd0819a2,Yes
WBS - estimated items,Flooring,Tile,Flash 5x5 - Lead,6FL55/LE,0061d6bc-bce0-4a82-99ce-d6b7fd0819a2,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Mythology Undulated 4x12 - Titan MY96 ",6MYTHU412/MY96,0070432a-0376-4cd9-b111-9329d5b8e385,Yes
WBS - estimated items,Flooring,Tile,Empire TG87B Chevron Mosaic (11.25x11.73 Mesh) - 00155 BC & BG,6BNTG87B/155,009de458-cf91-4a11-9ab9-32b395b59a93,Yes
WBS - estimated items,Flooring,Tile,Estate TG87B Chevron Mosaic (11.25x11.73 Mesh) - 00155 BC & BG,6TG87B/155,009de458-cf91-4a11-9ab9-32b395b59a93,Yes
WBS - estimated items,Flooring,Tile,Vertuo 12x24 - VR11 Composer,6V1224/VR11,00fc44a1-f109-43ef-b115-362f0d59c544,Yes
WBS - estimated items,Flooring,Tile,Voyage 12x24 - VR11 Composer,6BNV1224/VR11,00fc44a1-f109-43ef-b115-362f0d59c544,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 8x24 - Matte Chalkboard 0780,6CWL824/0780,014eea47-34e0-44a2-9ba4-466132ad3169,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 8x24 - Urban Putty 0161,6CWL824/0161,01d8423e-ace4-4594-a257-907865b04ecc,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 8x24 - Desert Gray X114,6CWL824/X114,01dde425-e709-44da-8e88-d1370986a4cf,Yes
Echelon-EPP - estimated items,Flooring,Tile,D-Segni 8x8 Deco Tile - Plaid Sand Blend (MOUG),6DSE8D/MOUG,01ee19e6-5a76-446b-977b-a0c9192f947d,Yes
Echelon-EPP - estimated items,Flooring,Tile,D_Segni 8x8 Deco Matte - Plaid Sand Blend MOUG,6DSEGD/MOUG,01ee19e6-5a76-446b-977b-a0c9192f947d,Yes
Echelon-EPP - estimated items,Flooring,Tile,Toledo 17x17 - Silver EM,6TO17/SI,02192499-9f6d-45e6-b5db-d40e652b1295,Yes
WBS - estimated items,Flooring,Tile,Terrace 17x17 - Silver,6BNTO17/SI,02192499-9f6d-45e6-b5db-d40e652b1295,Yes
WBS - estimated items,Flooring,Tile,Toledo 17x17 - Silver,6TO17/SI,02192499-9f6d-45e6-b5db-d40e652b1295,Yes
Echelon-EPP - estimated items,Flooring,Tile,Nagara 2x4 Mosaic (11x11 Mesh) - White Glossy EM,6NM1/WG,021acc6a-b160-46e7-9578-d2c5361d5755,Yes
Echelon-EPP - estimated items,Flooring,Tile,Koncrete 12x24 - Grey DT,6KON1224/GREY,02280e43-d39a-45d9-9157-41f2345612fe,Yes
Echelon-EPP - estimated items,Flooring,Tile,Marble Attache Polished 12x24-Crux,6MAP1224/CRUX,023deda1-3fd3-47c3-864e-5c7d12864aa3,Yes
Echelon-EPP - estimated items,Flooring,Tile,Cosmopolitan 12x24 - Ecru,6C124/ECR,02901635-7b6b-4b39-9a3f-dc1e7dd2da09,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Classic 3x6 Matte - Suede Gray 0782,6DTCWC36M/0782,029ec8ba-d072-42fc-b65f-558ab0f7b0d7,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Mosaic Penny Round - Matte Desert Gray X714,6DTCWMPR/X714,02aec926-0fb5-465c-81cf-59a41db1e76b,Yes
WBS - estimated items,Flooring,Tile,Geoscapes Chevron TG46C Mosaic (11.61x11.02 Mesh) - 00520 Warm Blend,6TG46C/520,02b6a422-3f67-48c0-be26-d4fdcc5af9c4,Yes
WBS - estimated items,Flooring,Tile,Glow Chevron TG46C Mosaic 11.61x11.02 Mesh) - 00520 Warm Blend,6BNTG46C/520,02b6a422-3f67-48c0-be26-d4fdcc5af9c4,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 8x24 - Matte Architectural Gray 0709,6CWL824/0709,02e69407-2499-4599-8e5f-3b0794dd75c9,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Source 3 in. Hex Matte Mosaic Mesh - Light Blend,6SOUR3H/LB,03017f8f-23e2-44a5-b2a0-f33866104886,Yes
