2026-01-23 08:46:14.1450|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke START for SessionId: 080b8c02-0263-40bd-a206-fbfe0dbc8e08, RoomId: 355cc709-66f2-4072-a1fa-78ed9338f75d|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.1672|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get session 080b8c02-0263-40bd-a206-fbfe0dbc8e08|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.1859|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get organization 8aaecc3a-2d9e-4500-b0cf-d79d947d33a7|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.2386|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get feature flag sub_areas_in_dmh status for organization 8aaecc3a-2d9e-4500-b0cf-d79d947d33a7|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.2700|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get plan 86d8a3a5-77f9-474b-99c2-adbe2503d088|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.3176|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get profile plan cabf4101-1b8f-462c-b33b-3dfaece3a7a9|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.3644|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get associated room for RoomId: 355cc709-66f2-4072-a1fa-78ed9338f75d|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.5158|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get visualization provider for VisualizationProviderId: 90c925bb-c28b-4903-ab0b-ff75d0d4dadd|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:14.6619|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get selections to render for session|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:15.5350|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Get render from provider BioRev|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
2026-01-23 08:46:16.6485|BuildOnTechnologies.VDS.Services.Visualization.RenderScene|INFO|RenderScene._Invoke Log visualization errors if any|GET|https://localhost:44386/api/sessions/080b8c02-0263-40bd-a206-fbfe0dbc8e08/rooms/355cc709-66f2-4072-a1fa-78ed9338f75d?streamContainerWidth=1100|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36|::1|
