2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
2026-04-24 13:10:19.6806|VdsExceptionHandler|ERROR|Unhandled Exception|Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=0; handshake=15013;  Microsoft.Data.SqlClient.SqlException|GET|https://www.veodesignstudio.com/api/DesignSession/GetRecentDesignSessions?UserID=6d981893-d86f-44c0-9da1-12d488456092&DaysOfHistory=14&SessionsToFetch=3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0|10.122.1.180|
